,Open,Close,High,Low,Volume,Date
96,5.91,5.9325,5.9875,5.8925,,2021-12-17
97,5.875,5.9125,5.92,5.845,,2021-12-16
98,0.0,5.8575,5.965,5.82,,2021-12-15
99,5.8325,5.8875,5.91,5.7675,,2021-12-14
100,5.875,5.8425,5.88,5.8075,,2021-12-13
101,5.885,5.885,5.92,5.85,,2021-12-10
102,5.8575,5.885,5.9125,5.7675,,2021-12-09
103,5.85,5.8475,5.89,5.84,,2021-12-08
104,5.84,5.8625,5.895,5.795,,2021-12-07
105,5.86,5.835,5.86,5.78,,2021-12-06
106,5.7625,5.86,5.8875,5.7625,,2021-12-03
107,5.7125,5.77,5.83,5.7,,2021-12-02
108,5.68,5.72,5.76,5.67,,2021-12-01
109,5.81,5.67,5.82,5.62,,2021-11-30
110,5.86,5.81,5.8825,5.765,,2021-11-29
111,5.715,5.8675,5.88,5.6675,,2021-11-26
112,5.8025,5.7975,5.89,5.755,,2021-11-24
113,5.7625,5.805,5.81,5.725,,2021-11-23
114,5.705,5.7675,5.79,5.6975,,2021-11-22
115,5.73,5.7075,5.76,5.68,,2021-11-19
116,5.75,5.73,5.83,5.72,,2021-11-18
117,5.7075,5.7525,5.84,5.7,,2021-11-17
118,5.76,5.71,5.775,5.7,,2021-11-16
119,5.7625,5.765,5.7875,5.6975,,2021-11-15
120,5.6925,5.7725,5.82,5.6675,,2021-11-12
121,5.6775,5.695,5.79,5.66,,2021-11-11
122,5.555,5.6925,5.7175,5.55,,2021-11-10
123,5.51,5.5475,5.64,5.4775,,2021-11-09
124,5.52,5.515,5.5475,5.495,,2021-11-08
125,5.6,5.53,5.6275,5.5225,,2021-11-05
126,5.6375,5.5925,5.6975,5.565,,2021-11-04
127,5.72,5.64,5.7325,5.63,,2021-11-03
128,5.7825,5.73,5.86,5.72,,2021-11-02
129,5.68,5.79,5.82,5.6525,,2021-11-01
130,5.625,5.6825,5.6925,5.5875,,2021-10-29
131,5.565,5.6275,5.6875,5.54,,2021-10-28
132,5.425,5.5725,5.6325,5.395,,2021-10-27
133,5.38,5.435,5.4725,5.33,,2021-10-26
134,5.37,5.38,5.42,5.35,,2021-10-25
135,5.33,5.38,5.4,5.32,,2021-10-22
136,5.39,5.3225,5.4,5.3075,,2021-10-21
137,5.3,5.3925,5.4,5.285,,2021-10-20
138,5.32,5.3025,5.37,5.295,,2021-10-19
139,5.2575,5.3275,5.3375,5.23,,2021-10-18
140,5.1625,5.2575,5.285,5.1425,,2021-10-15
141,5.1225,5.1675,5.1825,5.11,,2021-10-14
142,5.23,5.1225,5.2525,5.0675,,2021-10-13
143,5.3275,5.225,5.33,5.1925,,2021-10-12
144,5.3,5.33,5.34,5.2875,,2021-10-11
145,5.3325,5.305,5.3875,5.3,,2021-10-08
146,5.3275,5.34,5.3525,5.275,,2021-10-07
147,5.37,5.3225,5.4475,5.315,,2021-10-06
148,5.4,5.375,5.43,5.3525,,2021-10-05
149,5.4,5.4075,5.475,5.36,,2021-10-04
150,5.3675,5.415,5.4525,5.32,,2021-10-01
151,5.39,5.3675,5.485,5.2725,,2021-09-30
152,5.335,5.39,5.41,5.335,,2021-09-29
153,5.3875,5.325,5.4175,5.32,,2021-09-28
154,5.2475,5.395,5.4,5.24,,2021-09-27
155,5.285,5.2675,5.2875,5.24,,2021-09-24
156,5.245,5.2925,5.31,5.2025,,2021-09-23
157,5.17,5.255,5.2625,5.16,,2021-09-22
158,5.22,5.17,5.2275,5.1275,,2021-09-21
159,5.27,5.2175,5.27,5.1525,,2021-09-20
160,5.29,5.2725,5.305,5.2175,,2021-09-17
161,5.335,5.295,5.375,5.28,,2021-09-16
162,0.0,5.335,5.345,0.0,,2021-09-15
163,4.97,5.03,5.0225,4.97,,2021-09-14
164,5.035,4.9675,5.035,4.93,,2021-09-13
165,4.99,5.0275,5.05,4.8775,,2021-09-10
166,4.985,4.96,5.0,4.945,,2021-09-09
167,4.975,4.9825,5.04,4.95,,2021-09-08
168,5.09,4.9575,5.09,4.96,,2021-09-07
169,5.1675,5.08,5.1825,5.0675,,2021-09-03
170,5.155,5.1625,5.21,5.1,,2021-09-02
171,5.34,5.155,5.35,5.1425,,2021-09-01
172,5.4,5.34,5.42,5.24,,2021-08-31
173,5.5725,5.4025,5.6,5.315,,2021-08-30
174,5.53,5.58,5.5875,5.4875,,2021-08-27
175,5.5,5.5275,5.5575,5.48,,2021-08-26
176,5.445,5.5125,5.55,5.4125,,2021-08-25
177,5.395,5.445,5.465,5.37,,2021-08-24
178,5.36,5.38,5.4425,5.315,,2021-08-23
179,5.5025,5.3875,5.5425,5.3325,,2021-08-20
180,5.605,5.5,5.605,5.4675,,2021-08-19
181,5.59,5.6175,5.635,5.565,,2021-08-18
182,5.675,5.5825,5.695,5.5625,,2021-08-17
183,5.6825,5.6475,5.72,5.61,,2021-08-16
184,5.6675,5.6825,5.75,5.59,,2021-08-13
185,5.5475,5.67,5.895,5.485,,2021-08-12
186,5.4875,5.5625,5.585,5.4825,,2021-08-11
187,5.485,5.4925,5.5025,5.44,,2021-08-10
188,5.54,5.5025,5.56,5.47,,2021-08-09
189,5.55,5.55,5.605,5.4875,,2021-08-06
190,5.4675,5.5575,5.6075,5.4575,,2021-08-05
191,5.505,5.4575,5.5525,5.4025,,2021-08-04
192,5.5575,5.505,5.635,5.4675,,2021-08-03
193,5.4725,5.5875,5.5925,5.4025,,2021-08-02
194,5.57,5.47,5.5775,5.465,,2021-07-30
195,5.4925,5.58,5.59,5.465,,2021-07-29
196,5.54,5.4925,5.5425,5.45,,2021-07-28
197,5.54,5.4875,5.64,5.4425,,2021-07-27
198,5.45,5.4975,0.0,5.3675,,2021-07-26
199,5.6475,5.4725,5.6925,5.445,,2021-07-23
200,5.715,5.645,5.7175,5.55,,2021-07-22
201,5.72,5.7175,5.79,5.6775,,2021-07-21
202,5.58,5.7175,5.7625,5.5725,,2021-07-20
203,5.7,5.56,5.715,5.4875,,2021-07-19
204,5.64,5.56,5.705,5.5325,,2021-07-16
205,0.0,5.6425,0.0,5.61,,2021-07-15
206,6.82,6.83,6.87,6.82,,2021-07-14
207,6.695,6.77,7.505,6.64,,2021-07-13
208,6.2975,6.6925,6.66,6.195,,2021-07-12
209,6.4075,6.2975,6.435,6.2,,2021-07-09
210,6.575,6.38,6.595,6.36,,2021-07-08
211,6.56,6.525,6.66,6.45,,2021-07-07
212,6.8525,6.56,6.8525,6.455,,2021-07-06
213,7.2,6.9725,7.27,6.83,,2021-07-02
214,7.1975,7.1975,7.445,7.1225,,2021-07-01
215,6.94,7.2,7.4325,6.755,,2021-06-30
216,6.7825,6.945,7.0,6.68,,2021-06-29
217,6.3775,6.7525,6.765,6.3675,,2021-06-28
218,6.5325,6.365,6.595,6.34,,2021-06-25
219,6.64,6.5325,6.64,6.5075,,2021-06-24
220,6.605,6.6425,6.6625,6.5925,,2021-06-23
221,6.6275,6.5975,6.68,6.5375,,2021-06-22
222,6.4025,6.5925,6.65,6.36,,2021-06-21
223,6.31,6.5525,6.635,6.295,,2021-06-18
224,6.7275,6.33,6.7425,6.33,,2021-06-17
225,6.7,6.73,6.8775,6.6375,,2021-06-16
226,6.6275,6.675,6.685,6.4675,,2021-06-15
227,6.7575,6.5925,6.7625,6.53,,2021-06-14
228,6.995,6.845,7.03,6.73,,2021-06-11
229,6.91,6.99,7.175,6.8775,,2021-06-10
230,6.825,6.9075,6.955,6.695,,2021-06-09
231,6.82,6.8,6.98,6.775,,2021-06-08
232,6.95,6.7925,7.0625,6.745,,2021-06-07
233,6.635,6.8275,6.8575,6.6075,,2021-06-04
234,6.755,6.62,6.85,6.5275,,2021-06-03
235,6.8325,6.75,6.9425,6.66,,2021-06-02
236,6.66,6.8875,6.9675,6.6075,,2021-06-01
237,6.6625,6.5675,6.7275,6.5125,,2021-05-28
238,6.26,6.645,6.645,6.2125,,2021-05-27
239,6.21,6.245,6.29,6.0275,,2021-05-26
240,6.6,6.2025,6.6175,6.1725,,2021-05-25
241,6.5225,6.5725,6.585,6.455,,2021-05-24
242,6.6475,6.595,6.6675,6.535,,2021-05-21
243,6.6225,6.645,6.7125,6.565,,2021-05-20
244,6.605,6.5825,6.63,6.37,,2021-05-19
